Nick	Overview	Name	Romanized Name	Nationality	Born	Status	Years Active (Player)	Years Active (Coach)	Years Active (Analyst)	Role	Team	Nicknames	Alternate IDs	Approx. Total Winnings	Games	Population	Nationality_Count
Vexite	"Declan ""Vexite"" Portelli (born September 5, 2004) is an Australian professional Counter-Strike: Global Offensive player."	Declan Portelli		Australia	September  5, 2004 (age 19)	Active	2018 – Present			Rifler	Grayhound Gaming			$25,138	Global Offensive		51
xertz	"Kobi ""xertz"" Wallis (born January 25, 1994) is an Australian professional Counter-Strike: Global Offensive coach and a former professional Counter-Strike: Global Offensive player."	Kobi Wallis		Australia	January 25, 1994 (age 29)	Active	2015 2018 – 2020,	2021 – Present		Coach				$1,512	Global Offensive		51
yellow	"Chris ""yellow"" McGillivray (born June 15, 1992) is an Australian professional Counter-Strike: Global Offensive player."	Chris McGillivray		Australia	June 15, 1992 (age 31)	Active	2013 – 2018, 2020 – Present			Rifler			yellowww, yelowwwwwww	$2,966	Global Offensive		51
yourwombat	"William ""yourwombat"" Allchin (born August 25, 1999) is an Australian professional Counter-Strike: Global Offensive player."	William Allchin		Australia	August 25, 1999 (age 24)	Active	2016 – Present							$7,388	Global Offensive		51
chrissK	"Christoph ""chrissK"" Kröll (born May 16, 1997) is an Austrian professional Counter-Strike: Global Offensive player."	Christoph Kröll		Austria	May 16, 1997 (age 26)	Active	2015 – Present						chrissK	$6,314	Global Offensive		12
dukiiii	"Dusan ""dukiiii"" Ivkovic (born July 26, 1996) is an Austrian professional Counter-Strike: Global Offensive and former Counter-Strike: Source player. dukiiii was previously banned on ESL for cheating in February 2014 and 99Damage on November 2015 as well as on ESEA and FACEIT. In November 2016, 99Damage convicted dukiiii of impersonating baldii in the 99Liga S4 Div. 1 and nail in the 99Damage Arena 18 and 19."	Dusan Ivkovic		Austria	July 26, 1996 (age 27)	Active	2013 – Present			entry fragger			dukiii	$8,358	Global Offensive		12
kakafu	"Alexander ""kakafu"" Szymanczyk (born April 9, 1989) is an Austrian professional Counter-Strike: Global Offensive assistant coach for OG and a retired professional Counter-Strike: Global Offensive and Counter-Strike player."	Alexander Szymanczyk		Austria	April  9, 1989 (age 34)	Active	2009 – 2015	2016 – Present		Assistant Coach	OG		kakafu se ace	$2,600	Global Offensive		12
NinoZjE	"Anel ""NinoZjE"" Zukic (born June 30, 1999) is an Austrian professional Counter-Strike: Global Offensive player of Bosnian descent."	Anel Zukić		Austria	June 30, 1999 (age 24)	Active	2017 – Present			Rifler			Nino	$5,607	Global Offensive		12
Orbit	"Manuel ""Orbit"" Sailer (formerly known as KingOrbit) (born March 26, 2002) is an Austrian professional Counter-Strike: Global Offensive player."	Manuel Sailer		Austria	March 26, 2002 (age 21)	Active				entry fragger	GHR E-Sports		KingOrbit	$7,043	Global Offensive		12
ReacTioNNN	"Alexander ""ReacTioNNN"" Grassauer (born February 20, 2001) is an Inactive Austrian professional Counter-Strike: Global Offensive player."	Alexander Grassauer		Austria	February 20, 2001 (age 22)	Inactive	2017 – 2022			lurker				$8,289	Global Offensive		12
