Nick	Overview	Name	Romanized Name	Nationality	Born	Status	Years Active (Player)	Years Active (Coach)	Years Active (Analyst)	Role	Team	Nicknames	Alternate IDs	Approx. Total Winnings	Games	Population	Nationality_Count
LeoGOD	"Leonardo ""LeoGOD"" Silva is a Brazilian professional Counter-Strike: Global Offensive player."	Leonardo Silva		Brazil		Active	2017 – Present			Rifler				$3,313	Global Offensive	203,062,512	192
Leomonster	"Leonardo ""Leomonster"" Enrique (born February 22, 2003) is a Brazilian professional Counter-Strike: Global Offensive player from Rio Claro, São Paulo."	Leonardo Enrique de Souza		Brazil	February 22, 2003 (age 20)	Active	2018 – Present			Rifler			Leo	$13,507	Global Offensive	203,062,512	192
logS	"Lucas ""logS"" Salim  is a Brazilian professional Counter-Strike: Global Offensive coach and former player."	Lucas Salim		Brazil		Active	2015 – 2017	2022 – Present		Coach				$61	Global Offensive	203,062,512	192
Lucaozy	"Lucas ""Lucaozy"" Neves (born October 16, 2001) is a Brazilian professional Counter-Strike: Global Offensive player."	Lucas Neves		Brazil	October 16, 2001 (age 21)	Active	2018 – Present			Rifler	Fluxo			$44,609	Global Offensive	203,062,512	192
LUCAS1	"Lucas ""LUCAS1"" Teles (born July 14, 1995) is a Brazilian professional Counter-Strike: Global Offensive and a former semi-professional Counter-Strike player. He is Henrique ""HEN1"" Teles's twin brother and Charles ""pbf1"" Teles's younger brother."	Lucas Teles Ferreira da Fonseca		Brazil	July 14, 1995 (age 28)	Inactive	2010 – 2021			support			lucas1aPaVoRa	$219,525	Global Offensive	203,062,512	192
lukz	"Lucas ""lukz"" Oliveira (born December 14, 1997) is a Brazilian professional Counter-Strike: Global Offensive player."	Lucas Oliveira		Brazil	December 14, 1997 (age 25)	Active	2017 – Present			Rifler				$4,458	Global Offensive	203,062,512	192
luq	"Lucas ""luq"" Cavalcanti (born July 31, 1990) is a Brazilian professional Counter-Strike: Global Offensive coach and former professional Counter-Strike: Global Offensive and Counter-Strike player."	Lucas Guedes Cavalcanti		Brazil	July 31, 1990 (age 33)	Active	2007 – 2012, 2016 – 2020, 2021	2020 – 2021, 2021 – Present		Coach				$1,034	Global Offensive	203,062,512	192
lux	"Lucas ""lux"" Meneghini (born April 18, 2002) is a Brazilian professional Counter-Strike: Global Offensive player."	Lucas Christofoletti Meneghini		Brazil	April 18, 2002 (age 21)	Active	2020 – Present			Rifler	paiN Gaming			$22,086	Global Offensive	203,062,512	192
LyttleZ	"Mariana ""LyttleZ"" Sabia (born September 9, 2004) is a Brazilian professional Counter-Strike: Global Offensive player."	Mariana Pádua Sabia		Brazil	September  9, 2004 (age 19)	Active	2019 – Present			AWPer				$7,267	Global Offensive	203,062,512	192
MaLLby	"Marcello ""MaLLby"" Czarneski (born June 22, 2001) is a Brazilian professional Counter-Strike: Global Offensive player."	Marcello Czarneski Severo		Brazil	June 22, 2001 (age 22)	Active	2018 – Present			lurker				$15,608	Global Offensive	203,062,512	192
Maluk3	"Pedro ""Maluk3"" Campos (born March 21, 1990) is a Brazilian professional Counter-Strike: Global Offensive and a former professional Counter-Strike player."	Pedro Campos		Brazil	March 21, 1990 (age 33)	Active	2002 – 2006, 2008 – 2012, 2015 – Present				Age Sports			$64,518	Global Offensive	203,062,512	192
matios	"João ""matios"" Guedes (born February 22, 2002) is a Brazilian professional Counter-Strike: Global Offensive player."	João Guedes		Brazil	February 22, 2002 (age 21)	Active	2020 – Present			Rifler	ODDIK			$4,955	Global Offensive	203,062,512	192
mawth	"Matheus ""mawth"" Gonçalves (born December 27, 1998) is a Brazilian professional Counter-Strike: Global Offensive player."	Matheus Gonçalves		Brazil	December 27, 1998 (age 24)	Active	2015 – Present						mawth	$8,214	Global Offensive	203,062,512	192
maxcel	"Maxcel ""maxcel"" Rocha (born June 21, 1996) is a Brazilian professional Counter-Strike: Global Offensive player."	Maxcel Rocha		Brazil	June 21, 1996 (age 27)	Active	2018 – Present			support			max, maxL0rd	$1,910	Global Offensive	203,062,512	192
mello	"Leonardo ""mello"" Melo (born December 7, 2002) is a Brazilian professional Counter-Strike: Global Offensive player."	Leonardo Melo		Brazil	December  7, 2002 (age 20)	Active	2020 – Present			AWPer	FURIA Academy			$5,602	Global Offensive	203,062,512	192
msr	"Leonardo ""msr"" Caixeta (born February 5, 1993) is a Brazilian professional Counter-Strike: Global Offensive coach and former player who currently coaches FURIA Academy."	Leonardo Caixeta		Brazil	February  5, 1993 (age 30)	Active	2013 – 2017, 2018 – 2019,	2017 2019 – Present		Coach	FURIA Academy		MSR, minisr	$125	Global Offensive	203,062,512	192
n1ssim	"Vinicius ""n1ssim"" Pereira (born April 27, 2001) is a Brazilian professional Counter-Strike: Global Offensive player."	Vinicius Pereira		Brazil	April 27, 2001 (age 22)	Active	2019 – Present			Rifler	Sharks Esports			$6,605	Global Offensive	203,062,512	192
n9xtz	"Leonardo ""n9xtz"" Santos (born November 14, 2003) is a Brazilian professional Counter-Strike: Global Offensive player."	Leonardo Santos		Brazil	November 14, 2003 (age 19)	Active	2021 – 2022, 2023 – Present			Rifler			n9xtZ	$8,570	Global Offensive	203,062,512	192
naitte	"João ""naitte"" Maia (born November 5, 1997) is a Brazilian professional Counter-Strike: Global Offensive player."	João Maia Caldas		Brazil	November  5, 1997 (age 25)	Active	2017 – 2020, 2021 – Present			Rifler	ODDIK		naitte7	$13,851	Global Offensive	203,062,512	192
nak	"Renato ""nak"" Nakano (born July 10, 1987) is a Brazilian professional Counter-Strike: Global Offensive strategic coach and content creator for MIBR and a retired Counter-Strike: Global Offensive, Counter-Strike: Source and Counter-Strike player."	Renato Nakano		Brazil	July 10, 1987 (age 36)	Active	2004 – 2012, 2015 – 2021,	2015 2021 – Present		Coach	MIBR		NAKANO	$68,408	Global Offensive	203,062,512	192
nani	"Nataly ""nani"" Cavalcante (born March 27, 1995) is a Brazilian professional Counter-Strike: Global Offensive player."	Nataly do Nascimento Cavalcante		Brazil	March 27, 1995 (age 28)	Active	2017 – Present			Rifler	Fluxo Demons			$16,215	Global Offensive	203,062,512	192
NEKIZ	"Gabriel ""NEKIZ"" Schenato (born November 17, 1995) is a Brazilian professional Counter-Strike: Global Offensive player."	Gabriel Schenato		Brazil	November 17, 1995 (age 27)	Active	2013 – Present			entry fragger	Legacy			$117,399	Global Offensive	203,062,512	192
nicks	"Nicollas ""nicks"" Polonio (born July 12, 2005) is a Brazilian professional Counter-Strike: Global Offensive player and former professional Fortnite player."	Nicollas Polonio de Oliveira		Brazil	July 12, 2005 (age 18)	Active	2022 – Present			Rifler	MIBR Academy			$895	Global Offensive	203,062,512	192
ninjaZ	"Icaro ""ninjaZ"" Cavalari (formerly known as ninjaz4n) (born February 5, 2003) is a Brazilian professional Counter-Strike: Global Offensive player."	Icaro Cavalari		Brazil	February  5, 2003 (age 20)	Active	2019 – Present				Filhos de D10S		ninjaz4n	$12,979	Global Offensive	203,062,512	192
nolkz	"Felipe ""nolkz"" Rodrigues (born April 12, 2000) is a Brazilian professional Counter-Strike: Global Offensive player for Team Solid."	Felipe Rodrigues		Brazil	April 12, 2000 (age 23)	Active	2018 – Present			support	Team Solid		n9lkz	$5,561	Global Offensive	203,062,512	192
nqz	"Lucas ""nqz"" Soares (born January 18, 2005) is a Brazilian professional Counter-Strike: Global Offensive player."	Lucas Soares		Brazil	January 18, 2005 (age 18)	Active	2019 – Present			AWPer	Legacy			$20,036	Global Offensive	203,062,512	192
nython	"Gabriel ""nython"" Lino (born October 10, 1997) is a Brazilian professional Counter-Strike: Global Offensive player for Paqueta Gaming."	Gabriel Henrique Lino Frano		Brazil	October 10, 1997 (age 26)	Active	2019 – Present			AWPer	Paquetá Gaming		nythonzinho	$38,391	Global Offensive	203,062,512	192
olga	"Olga ""olga"" Rodrigues (born May 29, 1994) is a Brazilian professional Counter-Strike: Global Offensive player who currently plays for HSG."	Olga Rodrigues Locatelli		Brazil	May 29, 1994 (age 29)	Active	2016 2018 – Present	2017		support	HSG		0164, OL6A, drtt	$30,556	Global Offensive	203,062,512	192
Patoz1k	"Willian ""Patoz1k"" Japa (born April 18, 2002) is a Brazilian professional Counter-Strike: Global Offensive analyst, coach and former player."	Willian Gabriel Japa		Brazil	April 18, 2002 (age 21)	Active	2017 – 2022	2022 – Present	2023 – Present		mocreias		Patolinoz1k, patozk	$100	Global Offensive	203,062,512	192
pesadelo	"Matheus ""pesadelo"" Panisset (born August 12, 1999) is a Brazilian professional Counter-Strike: Global Offensive player."	Matheus Panisset		Brazil	August 12, 1999 (age 24)	Active	2018 – Present			Rifler	Age Sports		pesa	$33,065	Global Offensive	203,062,512	192
phx	"Gustavo ""phx"" Merigo (born March 24, 1999) is a Brazilian professional Counter-Strike: Global Offensive player."	Gustavo Merigo		Brazil	March 24, 1999 (age 24)	Active	2018 – Present							$2,520	Global Offensive	203,062,512	192
piria	"Guilherme ""piria"" Barbosa (born October 1, 2002) is a Brazilian professional Counter-Strike: Global Offensive player."	Guilherme Barbosa de Menezes		Brazil	October  1, 2002 (age 21)	Active	2019 – Present			Rifler	O Plano		piriajr, piriaz1n	$14,223	Global Offensive	203,062,512	192
PKL	"Vinícios ""PKL"" Coelho (born July 21, 1994) is a Brazilian professional Counter-Strike: Global Offensive player and a former semi-professional Counter-Strike player."	Vinícios Coelho		Brazil	July 21, 1994 (age 29)	Active	2008 – Present				Fluxo		piskuila	$123,938	Global Offensive	203,062,512	192
ponter	"Gabriel ""ponter"" Amaral (born January 30, 2001) is a Brazilian professional Counter-Strike: Global Offensive player."	Gabriel Amaral da Silva		Brazil	January 30, 2001 (age 22)	Active	2018 – Present			Rifler	ODDIK			$11,118	Global Offensive	203,062,512	192
poppins	"Nadjila ""poppins"" Sanchez (born May 29, 2006) is a Brazilian professional Counter-Strike: Global Offensive player."	Nadjila Sanchez Rodrigues		Brazil	May 29, 2006 (age 17)	Active	2020 – Present			Rifler	Fluxo Demons			$11,971	Global Offensive	203,062,512	192
prd	"Arthur ""prd"" Resende (born June 15, 1990) is a Brazilian professional Counter-Strike: Global Offensive coach, analyst and former Counter-Strike: Global Offensive, Counter-Strike: Source and Counter-Strike player. In September 2020, prd received a 10-month ban from all ESIC member events starting September 28, 2020 for exploiting a coach spectating bug during his time at Neverest eSports. Additionally, prd received a permanent ban from Valve events due to exploiting the coaching bug."	Arthur Resende		Brazil	June 15, 1990 (age 33)	Valve Banned	2006 – 2012, 2012 – 2019,	2019 – Present						$12,684	Global Offensive	203,062,512	192
proSHOW	"Rodrigo ""proSHOW"" Guluzian (born September 4, 1997)  is a Brazilian professional Counter-Strike: Global Offensive player."	Rodrigo Guluzian		Brazil	September  4, 1997 (age 26)	Active	2019 – Present				Corinthians Esports			$3,780	Global Offensive	203,062,512	192
prt	"Matheus ""prt"" Scuvero (born December 18, 1997) is a professional Brazilian professional Counter-Strike: Global Offensive player."	Matheus Scuvero		Brazil	December 18, 1997 (age 25)	Active	2016 – Present				Age Sports		prtsh0w, prtz	$41,784	Global Offensive	203,062,512	192
r1see	"Nicolas ""r1see"" Kubitza (born January 20, 2003) is a Brazilian professional Counter-Strike: Global Offensive player."	Nicolas Medeiros Moreira Kubitza		Brazil	January 20, 2003 (age 20)	Active	2020 – Present			lurker	ODDIK			$8,903	Global Offensive	203,062,512	192
r4ul	"Raul ""r4ul"" Bruzaca (born October 28, 1994) is a Brazilian professional Counter-Strike: Global Offensive player."	Raul Mendes Bruzaca		Brazil	October 28, 1994 (age 28)	Active	2017 – Present			Rifler	Corinthians Esports			$6,036	Global Offensive	203,062,512	192
RCF	"Rodrigo ""RCF"" Figueiredo (born July 12, 2000) is a Brazilian professional Counter-Strike: Global Offensive player for Case Esports."	Rodrigo Caponero Figueiredo		Brazil	July 12, 2000 (age 23)	Active	2016 – Present			AWPer	Case Esports		Recife, rcfmeister	$41,973	Global Offensive	203,062,512	192
rdnzao	"Daniel ""rdnzao"" Monteiro (born April 24, 2003) is a Brazilian professional Counter-Strike: Global Offensive player."	Daniel Monteiro		Brazil	April 24, 2003 (age 20)	Active	2021 – Present			Rifler	Sharks Esports			$11,542	Global Offensive	203,062,512	192
realz1n	"Antonio ""realz1n"" Oliveira (formerly stylized as realziN) (born July 1, 1995) is a Brazilian professional Counter-Strike: Global Offensive player."	Antonio Carlos de Oliveira		Brazil	July  1, 1995 (age 28)	Active	2017 – Present			Rifler	UNO MILLE		real, realziN	$22,695	Global Offensive	203,062,512	192
REGIANE	"Regiane ""REGIANE"" Santos (born September 9, 1996) is a Brazilian professional Counter-Strike: Global Offensive player and former professional Counter-Strike player. She retired from competitive Counter-Strike on July 8, 2022 to pursue a career in VALORANT, but returned on January 17, 2023 to play for MIBR Female."	Regiane Santos		Brazil	September  9, 1996 (age 27)	Active	2011 – 2012, 2019 – 2022, 2023 – Present			entry fragger	MIBR Female		magrela	$5,588	Global Offensive	203,062,512	192
rem1x	"Victor ""rem1x"" Monteiro (formerly stylized as remix) (born January 1, 1994) is a Brazilian professional Counter-Strike: Global Offensive player."	Victor Augusto Monteiro da Silva		Brazil	January  1, 1994 (age 29)	Active	2010 – 2011, 2017 – Present			AWPer	UNO MILLE		remix	$23,354	Global Offensive	203,062,512	192
RICIOLI	"Felipe ""RICIOLI"" Ricioli (born November 25, 1999) is a Brazilian professional Counter-Strike: Global Offensive player."	Felipe Caldana Ricioli		Brazil	November 25, 1999 (age 23)	Active	2018 – Present				UNO MILLE			$14,792	Global Offensive	203,062,512	192
righi	"João ""righi"" Righi (born June 19, 1997) is a Brazilian professional Counter-Strike: Global Offensive coach and a former manager and player."	João Righi		Brazil	June 19, 1997 (age 26)	Active	2018 – 2020	2020 – Present		Coach	Paquetá Gaming				Global Offensive	203,062,512	192
rikz	"Henrique ""rikz"" Waku (born January 13, 1991) is a Brazilian professional Counter-Strike: Global Offensive coach and former professional Counter-Strike: Global Offensive and Counter-Strike player. In September 2020, rikz received a 10-month ban from all ESIC member events starting September 28, 2020 for exploiting a coach spectating bug during his time at DETONA Gaming.  Additionally, rikz received a two Major ban in January 2021 from Valve due to exploiting the coaching bug."	Henrique Waku		Brazil	January 13, 1991 (age 32)	Valve Banned	2006 – 2018	2018 – Present		Coach	paiN Gaming			$1,363	Global Offensive	203,062,512	192
RMN	"Ramon ""RMN"" Toledo (born August 8, 1994) is a Brazilian professional Counter-Strike: Global Offensive coach and former player."	Ramon Toledo		Brazil	August  8, 1994 (age 29)	Active	2016 – 2022	2023 – Present		Coach	FURIA Esports Female			$4,833	Global Offensive	203,062,512	192
roz	"Guilherme ""roz"" Pureza (born November 29, 1996) is a Brazilian professional Counter-Strike: Global Offensive player."	Guilherme Pureza		Brazil	November 29, 1996 (age 26)	Active	2019 – Present			Rifler	Intense Game			$6,633	Global Offensive	203,062,512	192
s1non	"Amanda ""s1non"" Sheronstone (born February 24, 1999) is a Brazilian professional Counter-Strike: Global Offensive player."	Amanda Sheronstone Romão Paulino		Brazil	February 24, 1999 (age 24)	Active	2018 – Present			Rifler	mocreias			$7,982	Global Offensive	203,062,512	192
saffee	"Rafael ""saffee"" Costa (pronounced as safe) (born December 19, 1994) is a Brazilian professional Counter-Strike: Global Offensive player and a former semi-professional Counter-Strike player."	Rafael Costa		Brazil	December 19, 1994 (age 28)	Active	2010 – 2011, 2019 – Present			AWPer	MIBR		saffe, saffety	$120,651	Global Offensive	203,062,512	192
segalla	"Lucas ""segalla"" Mancini (born September 12, 1995) is a Brazilian professional Counter-Strike: Global Offensive coach and former player."	Lucas Mancini		Brazil	September 12, 1995 (age 28)	Active	2016 – 2021	2021 – Present		Coach	mocreias			$2,062	Global Offensive	203,062,512	192
SHOOWTiME	"Gustavo ""SHOOWTiME"" Gonçalves (born April 1, 1997) is a Brazilian professional Counter-Strike: Global Offensive player for O Plano."	Gustavo Silva Gonçalves		Brazil	April  1, 1997 (age 26)	Active	2014 – Present				O Plano			$94,739	Global Offensive	203,062,512	192
short	"Paulo ""short"" Ballardini (born November 27, 2000) is a Brazilian professional Counter-Strike: Global Offensive player and former coach."	Paulo Ballardini Souza Campos		Brazil	November 27, 2000 (age 22)	Active	2019 – 2020, 2020 – Present	2020						$15,024	Global Offensive	203,062,512	192
shz	"Bruno ""shz"" Martinelli (born April 21, 1998) is a Brazilian professional Counter-Strike: Global Offensive player for O Plano."	Bruno Martinelli		Brazil	April 21, 1998 (age 25)	Active	2016 – Present			support	O Plano			$51,506	Global Offensive	203,062,512	192
sidde	"Sid ""sidde"" Macedo is a Brazilian professional Counter-Strike: Global Offensive coach."	Sid Macedo		Brazil	February  6, 1997 (age 26)	Active		2019 – 2021, 2022 – Present		Assistant Coach	FURIA Esports				Global Offensive	203,062,512	192
skullz	"Felipe ""skullz"" Medeiros (born April 20, 2002) is a Brazilian professional Counter-Strike: Global Offensive player."	Felipe Medeiros		Brazil	April 20, 2002 (age 21)	Active	2017 – Present			Rifler	paiN Gaming		Skullzking	$59,484	Global Offensive	203,062,512	192
sky	"Pedro ""sky"" Lahass (born December 17, 1993) is a Brazilian professional Counter-Strike: Global Offensive coach."	Pedro Lahass		Brazil	December 17, 1993 (age 29)	Active		2021 – Present		Coach	UNO MILLE			$84	Global Offensive	203,062,512	192
slip	"Roger ""slip"" Alencar (born April 7, 1990) is a Brazilian professional Counter-Strike: Global Offensive coach, analyst and former Counter-Strike: Global Offensive and Counter-Strike player."	Roger Alencar		Brazil	April  7, 1990 (age 33)	Active	2006 – 2010, 2015 – 2021,	2021 – 2022, 2023 – Present	2023		w7m esports Female				Global Offensive	203,062,512	192
souz4h	"Luiz ""souz4h"" de Souza (born April 7, 2005) is a Brazilian professional Counter-Strike: Global Offensive player for Case Esports."	Luiz de Souza		Brazil	April  7, 2005 (age 18)	Active	2021 – Present			Rifler	Case Esports			$3,086	Global Offensive	203,062,512	192
steel	"Lucas ""steel"" Lopes (also known as steelega) (born November 19, 1993) is a Brazilian professional Counter-Strike: Global Offensive player and a former professional Counter-Strike: Source player."	Lucas Benedito Lopes		Brazil	November 19, 1993 (age 29)	Active	2009 – Present				Flamengo Esports		steelega	$198,396	Global Offensive	203,062,512	192
supLexN1	"Mateus ""supLexN1"" Miranda (born July 6, 1999) is a Brazilian professional Counter-Strike: Global Offensive player."	Mateus Ferreira Miranda		Brazil	July  6, 1999 (age 24)	Active	2019 – Present			AWPer	Meta Gaming		SuupLexx, supLex	$9,003	Global Offensive	203,062,512	192
t9rnay	"Henrique ""t9rnay"" Menacho (born August 10, 2001) is a Brazilian professional Counter-Strike: Global Offensive player."	Henrique Gabriel Menacho Souza		Brazil	August 10, 2001 (age 22)	Active	2020 – Present			Rifler	Fluxo		Turnay	$8,922	Global Offensive	203,062,512	192
tacitus	"Marcos ""tacitus"" Castilho (born November 25, 1999) is a Brazilian professional Counter-Strike: Global Offensive coach."	Marcos Castilho		Brazil	November 25, 1999 (age 23)	Active	2016 – 2020	2020 – Present	2020	Assistant Coach	MIBR				Global Offensive	203,062,512	192
TACO	"Epitácio ""TACO"" de Melo (born January 24, 1995) is a Brazilian professional Counter-Strike: Global Offensive and former semi-professional Counter-Strike player. He is best known for being a core member of the Luminosity-SK-MIBR lineup, with a brief stint in Team Liquid."	Epitácio Pessoa de Melo Filho		Brazil	January 24, 1995 (age 28)	Active	2011 – Present						VACO, TACOTN1	$1,077,379	Global Offensive	203,062,512	192
tatazin	"Alef ""tatazin"" Pereira (born September 20, 1993) is a Brazilian professional Counter-Strike: Global Offensive player."	Alef Pereira		Brazil	September 20, 1993 (age 30)	Active	2015 – Present			support			Markitoh$, tatazinho	$29,578	Global Offensive	203,062,512	192
TEKO	"Elitom ""TEKO"" Lourenço (born November 23, 1999) is a Brazilian professional Counter-Strike: Global Offensive player."	Elitom Lourenço		Brazil	November 23, 1999 (age 23)	Active	2017 – Present			Rifler			tek0	$3,191	Global Offensive	203,062,512	192
texxas	"Guilherme ""texxas"" Mayworm (born December 27, 1998) is a Brazilian professional Counter-Strike: Global Offensive coach and former player."	Guilherme Mayworm		Brazil	December 27, 1998 (age 24)	Active	2020 – 2021	2021 – Present		Coach	MIBR Academy			$1,325	Global Offensive	203,062,512	192
tge	"Gustavo ""tge"" Motta (born October 24, 1997) is a Brazilian professional Counter-Strike: Global Offensive coach, analyst and former player."	Gustavo Motta		Brazil	October 24, 1997 (age 25)	Active	2016 – 2020	2021 – 2022, 2023 – Present	2022		9z Team			$4,848	Global Offensive	203,062,512	192
tiburci0	"André ""tiburci0"" Rossetto (born February 2, 1994) is a Brazilian professional Counter-Strike: Global Offensive player and CEO of DETONA Gaming."	André Rossetto		Brazil	February  2, 1994 (age 29)	Inactive	2017 – 2020				DETONA Gaming		tiburciand0	$17,023	Global Offensive	203,062,512	192
togs	"Victor ""togs"" Rapassi (born September 23, 2001) is a Brazilian professional Counter-Strike: Global Offensive player."	Victor Rapassi		Brazil	September 23, 2001 (age 22)	Active	2020 – Present			Rifler	Sharks Esports			$15,276	Global Offensive	203,062,512	192
trk	"Alencar ""trk"" Rossato (born June 24, 1995) is a Brazilian professional Counter-Strike: Global Offensive player."	Alencar Rossato		Brazil	June 24, 1995 (age 28)	Active	2016 – Present			support	LOS + oNe		trkk, trkw0w	$78,471	Global Offensive	203,062,512	192
Tuurtle	"Matheus ""Tuurtle"" Anhaia (born October 31, 1998) is a Brazilian professional Counter-Strike: Global Offensive player."	Matheus Marques Anhaia		Brazil	October 31, 1998 (age 24)	Active	2017 – Present			Rifler	ODDIK			$79,892	Global Offensive	203,062,512	192
UnK	"Arthur ""UnK"" Varela (born March 7, 2000) is a Brazilian professional Counter-Strike: Global Offensive player."	Arthur Varela Lotti		Brazil	March  7, 2000 (age 23)	Active	2016 – Present			AWPer				$3,807	Global Offensive	203,062,512	192
v$m	"Vinicius ""v$m"" Moreira (born July 2, 1999) is a Brazilian professional Counter-Strike: Global Offensive player for Fluxo. He was previously banned from Valve-sponsored events due to a VAC ban issued in 2013, but has been unbanned following Counter-Strike's ""New RMR Eligibility Guidelines"" blog post."	Vinicius Moreira		Brazil	July  2, 1999 (age 24)	VAC Banned	2018 – Present			Rifler	Fluxo		vsm	$59,423	Global Offensive	203,062,512	192
venomzera	"Carlos ""venomzera"" Dias Junior (born August 19, 2004) is a Brazilian professional Counter-Strike: Global Offensive player."	Carlos Eduardo Dias Junior		Brazil	August 19, 2004 (age 19)	Active	2021 – Present			Rifler	Paquetá Gaming			$9,947	Global Offensive	203,062,512	192
VINI	"Vinicius ""VINI"" Figueiredo (born May 20, 1999) is a Brazilian professional Counter-Strike: Global Offensive player."	Vinicius de Almeida Figueiredo		Brazil	May 20, 1999 (age 24)	Active	2014 – Present			support	Imperial Esports			$275,860	Global Offensive	203,062,512	192
vLa	"Victor ""vLa"" Amaro (born December 28, 1998) is a Brazilian professional Counter-Strike: Global Offensive player."	Victor Luiz Amaro Rodrigues		Brazil	December 28, 1998 (age 24)	Active	2018 – Present			Rifler	Flamengo Esports			$12,938	Global Offensive	203,062,512	192
voltera	"Samuel ""voltera"" Rodrigues (born April 29, 1998) is a Brazilian professional Counter-Strike: Global Offensive player."	Samuel Rodrigues da Silva		Brazil	April 29, 1998 (age 25)	Active	2020 – Present			Rifler	Filhos de D10S			$7,419	Global Offensive	203,062,512	192
WOOD7	"Adriano ""WOOD7"" Cerato (pronounced as woody) (born May 23, 1995) is a Brazilian professional Counter-Strike: Global Offensive player. He is Kaike ""KSCERATO"" Cerato and Kauan ""KNCERATO"" Cerato's cousin."	Adriano Cerato		Brazil	May 23, 1995 (age 28)	Active	2016 – 2018, 2018 – Present				ODDIK		Woody	$48,418	Global Offensive	203,062,512	192
Xamp	"Willian ""Xamp"" Caldas (born August 4, 1992) is a Brazilian professional Counter-Strike: Global Offensive coach and former commentator and broadcast analyst."	Willian Caldas		Brazil	August  4, 1992 (age 31)	Active		2018 – Present		Coach	O Plano				Global Offensive	203,062,512	192
xns	"Enzo ""xns"" Henrique (born December 2, 1999) is a Brazilian professional Counter-Strike: Global Offensive player."	Enzo Henrique Almeida		Brazil	December  2, 1999 (age 23)	Active	2020 – Present			Rifler	Filhos de D10S			$15,951	Global Offensive	203,062,512	192
xureba	"Bruno ""xureba"" Sigwalt (born December 26, 2003) is a Brazilian professional Counter-Strike: Global Offensive player."	Bruno Sigwalt		Brazil	December 26, 2003 (age 19)	Active	2020 – Present			Rifler	Team Solid		xrb	$5,357	Global Offensive	203,062,512	192
yel	"Gustavo ""yel"" Knittel (formerly stylized as yeL) (born May 22, 1992) is a Brazilian professional Counter-Strike: Global Offensive player for Paqueta Gaming."	Gustavo Knittel Moreira		Brazil	May 22, 1992 (age 31)	Active	2007 – Present				Paquetá Gaming		yeL, yelzao, Amarelo	$97,688	Global Offensive	203,062,512	192
yepz	"Yan ""yepz"" Pedretti (born November 14, 1996) is an Brazilian professional Counter-Strike: Global Offensive player for Case Esports."	Yan Pedretti		Brazil	November 14, 1996 (age 26)	Active	2017 – Present			Rifler	Case Esports			$6,155	Global Offensive	203,062,512	192
YJ	"Lucas ""YJ"" Yuji (born September 5, 1995) is a Brazilian professional Counter-Strike: Global Offensive coach and former professional player and broadcast analyst."	Lucas Yuji Shimooka		Brazil	September  5, 1995 (age 28)	Active	2016 – 2021	2023 – Present		Coach	The Union		yuji	$11,900	Global Offensive	203,062,512	192
yungher	"Giovanna ""yungher"" Yungh (born May 28, 1997) is a Brazilian professional Counter-Strike: Global Offensive player."	Giovanna Yungh Mataveli		Brazil	May 28, 1997 (age 26)	Active	2018 – Present			AWPer	Fluxo Demons			$16,670	Global Offensive	203,062,512	192
yuurih	"Yuri ""yuurih"" Boian (born December 22, 1999) is a Brazilian professional Counter-Strike: Global Offensive player for FURIA Esports."	Yuri Gomes dos Santos Boian		Brazil	December 22, 1999 (age 23)	Active	2016 – Present			Rifler	FURIA Esports			$336,299	Global Offensive	203,062,512	192
zakk	"Rafael ""zakk"" Fernandes (born November 14, 1991) is a Brazilian professional Counter-Strike: Global Offensive coach and former professional Counter-Strike: Global Offensive, Counter-Strike: Source and Counter-Strike player."	Rafael Fernandes		Brazil	November 14, 1991 (age 31)	Active	2009 – 2016	2016 – Present		Coach	Imperial Esports			$3,813	Global Offensive	203,062,512	192
zevy	"Romeu ""zevy"" Rocco (born May 30, 2001) is a Brazilian professional Counter-Strike: Global Offensive player."	Romeu Rocco Junior		Brazil	May 30, 2001 (age 22)	Active	2019 – Present			AWPer	Fluxo		zevyce	$62,141	Global Offensive	203,062,512	192
zews	"Wilton ""zews"" Prado (born November 3, 1987) is a Brazilian professional Counter-Strike: Global Offensive coach and a former professional  Counter-Strike: Global Offensive, Counter-Strike: Source and Counter-Strike player."	Wilton Prado		Brazil	November  3, 1987 (age 35)	Active	2002 – 2015	2015 – 2021, 2022 - Present		Coach				$41,055	Global Offensive	203,062,512	192
zmb	"Leonardo ""zmb"" Toledo (born December 8, 1998) is a Brazilian professional Counter-Strike: Global Offensive player."	Leonardo Toledo		Brazil	December  8, 1998 (age 24)	Active	2017 – Present				Case Esports		zmbLeo, z0mbie	$12,406	Global Offensive	203,062,512	192
zqk	"Caio ""zqk"" Fonseca (born March 8, 1992) is a Brazilian professional Counter-Strike: Global Offensive player and former Counter-Strike: Source and Counter-Strike player."	Caio Fonseca		Brazil	March  8, 1992 (age 31)	Active	2007 – Present				Flamengo Esports		C410, zqkS, caiovf, MrRager	$29,007	Global Offensive	203,062,512	192
AwaykeN	"Slaven ""AwaykeN"" Lyubenov (born August 27, 2003) is a Bulgarian professional Counter-Strike: Global Offensive player."	Славен Любенов	Slaven Lyubenov	Bulgaria	August 27, 2003 (age 20)	Active	2020 – Present			AWPer	Raptors Esports Club			$4,764	Global Offensive	6,447,710	33
